hacker_id,submission_date,cnt
81314,2016-03-01,3
22165,2016-03-01,1
26955,2016-03-01,1
97530,2016-03-01,1
33863,2016-03-01,1
70115,2016-03-01,1
95335,2016-03-01,1
8150,2016-03-01,1
51132,2016-03-01,1
83913,2016-03-01,1
57527,2016-03-01,1
22917,2016-03-01,1
91573,2016-03-01,1
66648,2016-03-01,1
650,2016-03-01,1
34234,2016-03-01,1
89737,2016-03-01,1
83371,2016-03-01,1
9630,2016-03-01,1
51548,2016-03-01,1
83968,2016-03-01,1
31263,2016-03-01,1
22949,2016-03-01,1
26170,2016-03-01,1
79278,2016-03-01,1
3162,2016-03-01,1
34369,2016-03-01,1
18050,2016-03-01,1
58141,2016-03-01,1
11209,2016-03-01,1
53342,2016-03-01,1
54045,2016-03-01,1
41618,2016-03-01,1
24095,2016-03-01,1
89164,2016-03-01,1
92654,2016-03-01,1
4413,2016-03-01,1
36594,2016-03-01,1
53295,2016-03-01,1
75233,2016-03-01,1
12371,2016-03-01,1
54113,2016-03-01,1
22750,2016-03-01,1
22780,2016-03-01,1
24576,2016-03-01,1
92239,2016-03-01,1
8878,2016-03-01,1
5478,2016-03-01,1
37997,2016-03-01,1
19516,2016-03-01,1
433,2016-03-01,1
12423,2016-03-01,1
54408,2016-03-01,1
39091,2016-03-01,1
88484,2016-03-01,1
26093,2016-03-01,1
67815,2016-03-01,1
2697,2016-03-01,1
5509,2016-03-01,1
38962,2016-03-01,1
11587,2016-03-01,1
77217,2016-03-01,1
19773,2016-03-01,1
55374,2016-03-01,1
98981,2016-03-01,1
63800,2016-03-01,1
26468,2016-03-01,1
59792,2016-03-01,1
34294,2016-03-01,1
5990,2016-03-01,1
41057,2016-03-01,1
42225,2016-03-01,1
43192,2016-03-01,1
19963,2016-03-01,1
56707,2016-03-01,1
16014,2016-03-01,1
27064,2016-03-01,1
56909,2016-03-01,1
22467,2016-03-01,1
7460,2016-03-01,1
42973,2016-03-01,1
64790,2016-03-01,1
78993,2016-03-01,1
20811,2016-03-01,1
81338,2016-03-01,1
94251,2016-03-01,1
30082,2016-03-01,1
5026,2016-03-01,1
3124,2016-03-01,1
7865,2016-03-01,1
44791,2016-03-01,1
37492,2016-03-01,1
53072,2016-03-01,1
20888,2016-03-01,1
83509,2016-03-01,1
62640,2016-03-01,1
32455,2016-03-01,1
80744,2016-03-01,1
73695,2016-03-01,1
7897,2016-03-01,1
48490,2016-03-01,1
25226,2016-03-01,1
6030,2016-03-01,1
21372,2016-03-01,1
31247,2016-03-01,1
33323,2016-03-01,1
84441,2016-03-01,1
21743,2016-03-01,1
7978,2016-03-01,1
49340,2016-03-01,1
95648,2016-03-01,1
79136,2016-03-01,1
39091,2016-03-02,3
98981,2016-03-02,3
78408,2016-03-02,2
89781,2016-03-02,2
69030,2016-03-02,2
21973,2016-03-02,2
60516,2016-03-02,2
87230,2016-03-02,2
66648,2016-03-02,2
99789,2016-03-02,2
73967,2016-03-02,2
5509,2016-03-02,1
38962,2016-03-02,1
5333,2016-03-02,1
2764,2016-03-02,1
19773,2016-03-02,1
55374,2016-03-02,1
83376,2016-03-02,1
98727,2016-03-02,1
39857,2016-03-02,1
26468,2016-03-02,1
58932,2016-03-02,1
51134,2016-03-02,1
57448,2016-03-02,1
5990,2016-03-02,1
41057,2016-03-02,1
36691,2016-03-02,1
74021,2016-03-02,1
19963,2016-03-02,1
56707,2016-03-02,1
73740,2016-03-02,1
27064,2016-03-02,1
86429,2016-03-02,1
53295,2016-03-02,1
7460,2016-03-02,1
42973,2016-03-02,1
79101,2016-03-02,1
10068,2016-03-02,1
46328,2016-03-02,1
20811,2016-03-02,1
56978,2016-03-02,1
95354,2016-03-02,1
87802,2016-03-02,1
30082,2016-03-02,1
90959,2016-03-02,1
68071,2016-03-02,1
77749,2016-03-02,1
7865,2016-03-02,1
44791,2016-03-02,1
11092,2016-03-02,1
48592,2016-03-02,1
37187,2016-03-02,1
20888,2016-03-02,1
59818,2016-03-02,1
32349,2016-03-02,1
32455,2016-03-02,1
83913,2016-03-02,1
72783,2016-03-02,1
7897,2016-03-02,1
48490,2016-03-02,1
94083,2016-03-02,1
87555,2016-03-02,1
99169,2016-03-02,1
21372,2016-03-02,1
60355,2016-03-02,1
81598,2016-03-02,1
533,2016-03-02,1
33323,2016-03-02,1
34840,2016-03-02,1
78002,2016-03-02,1
70115,2016-03-02,1
7978,2016-03-02,1
49340,2016-03-02,1
77184,2016-03-02,1
18941,2016-03-02,1
61280,2016-03-02,1
22165,2016-03-02,1
62333,2016-03-02,1
97530,2016-03-02,1
33863,2016-03-02,1
51726,2016-03-02,1
16932,2016-03-02,1
8150,2016-03-02,1
51132,2016-03-02,1
80394,2016-03-02,1
36786,2016-03-02,1
40147,2016-03-02,1
22917,2016-03-02,1
67479,2016-03-02,1
62640,2016-03-02,1
15225,2016-03-02,1
650,2016-03-02,1
34234,2016-03-02,1
89780,2016-03-02,1
12303,2016-03-02,1
41558,2016-03-02,1
9630,2016-03-02,1
51548,2016-03-02,1
11753,2016-03-02,1
21334,2016-03-02,1
78205,2016-03-02,1
22949,2016-03-02,1
69799,2016-03-02,1
40093,2016-03-02,1
3162,2016-03-02,1
34369,2016-03-02,1
67735,2016-03-02,1
20033,2016-03-02,1
77490,2016-03-02,1
11209,2016-03-02,1
53342,2016-03-02,1
97336,2016-03-02,1
20435,2016-03-02,1
22013,2016-03-02,1
24095,2016-03-02,1
70302,2016-03-02,1
49116,2016-03-02,1
49008,2016-03-02,1
4413,2016-03-02,1
36594,2016-03-02,1
85501,2016-03-02,1
31822,2016-03-02,1
59446,2016-03-02,1
12371,2016-03-02,1
54113,2016-03-02,1
1050,2016-03-02,1
8878,2016-03-02,1
47174,2016-03-02,1
24576,2016-03-02,1
71848,2016-03-02,1
73115,2016-03-02,1
5478,2016-03-02,1
37997,2016-03-02,1
59761,2016-03-02,1
29719,2016-03-02,1
30845,2016-03-02,1
12423,2016-03-02,1
54408,2016-03-02,1
50467,2016-03-02,1
95648,2016-03-02,1
66014,2016-03-02,1
26093,2016-03-02,1
73849,2016-03-02,1
29047,2016-03-02,1
91573,2016-03-03,2
80682,2016-03-03,2
24725,2016-03-03,2
59761,2016-03-03,2
18105,2016-03-03,2
22165,2016-03-03,1
62333,2016-03-03,1
90401,2016-03-03,1
16932,2016-03-03,1
33863,2016-03-03,1
65113,2016-03-03,1
21743,2016-03-03,1
8150,2016-03-03,1
51132,2016-03-03,1
67735,2016-03-03,1
83263,2016-03-03,1
22917,2016-03-03,1
67479,2016-03-03,1
70287,2016-03-03,1
12707,2016-03-03,1
650,2016-03-03,1
34234,2016-03-03,1
46518,2016-03-03,1
42368,2016-03-03,1
9630,2016-03-03,1
51548,2016-03-03,1
81598,2016-03-03,1
25398,2016-03-03,1
22949,2016-03-03,1
69799,2016-03-03,1
78002,2016-03-03,1
82956,2016-03-03,1
3162,2016-03-03,1
34369,2016-03-03,1
31247,2016-03-03,1
11209,2016-03-03,1
53342,2016-03-03,1
32540,2016-03-03,1
73740,2016-03-03,1
24095,2016-03-03,1
70302,2016-03-03,1
95647,2016-03-03,1
4413,2016-03-03,1
36594,2016-03-03,1
43604,2016-03-03,1
12371,2016-03-03,1
54113,2016-03-03,1
79278,2016-03-03,1
86065,2016-03-03,1
24576,2016-03-03,1
71848,2016-03-03,1
78408,2016-03-03,1
75889,2016-03-03,1
5478,2016-03-03,1
37997,2016-03-03,1
10985,2016-03-03,1
72237,2016-03-03,1
12423,2016-03-03,1
54408,2016-03-03,1
16014,2016-03-03,1
79480,2016-03-03,1
26093,2016-03-03,1
73849,2016-03-03,1
46870,2016-03-03,1
45630,2016-03-03,1
5509,2016-03-03,1
38962,2016-03-03,1
97336,2016-03-03,1
17482,2016-03-03,1
19773,2016-03-03,1
55374,2016-03-03,1
53808,2016-03-03,1
87555,2016-03-03,1
26468,2016-03-03,1
76080,2016-03-03,1
12852,2016-03-03,1
5990,2016-03-03,1
41057,2016-03-03,1
15039,2016-03-03,1
89164,2016-03-03,1
19963,2016-03-03,1
56707,2016-03-03,1
69706,2016-03-03,1
10068,2016-03-03,1
27064,2016-03-03,1
2697,2016-03-03,1
29719,2016-03-03,1
7460,2016-03-03,1
42973,2016-03-03,1
33142,2016-03-03,1
75908,2016-03-03,1
20811,2016-03-03,1
56978,2016-03-03,1
89991,2016-03-03,1
30082,2016-03-03,1
34840,2016-03-03,1
74568,2016-03-03,1
7865,2016-03-03,1
44791,2016-03-03,1
74861,2016-03-03,1
50910,2016-03-03,1
20888,2016-03-03,1
59818,2016-03-03,1
55343,2016-03-03,1
95958,2016-03-03,1
32455,2016-03-03,1
50467,2016-03-03,1
56909,2016-03-03,1
7897,2016-03-03,1
48490,2016-03-03,1
86429,2016-03-03,1
21372,2016-03-03,1
60355,2016-03-03,1
53295,2016-03-03,1
31822,2016-03-03,1
33323,2016-03-03,1
49116,2016-03-03,1
21657,2016-03-03,1
7978,2016-03-03,1
49340,2016-03-03,1
20594,2016-03-03,1
8878,2016-03-03,1
533,2016-03-04,2
78408,2016-03-04,2
72783,2016-03-04,2
77217,2016-03-04,2
30845,2016-03-04,2
14737,2016-03-04,2
26468,2016-03-04,1
36654,2016-03-04,1
16257,2016-03-04,1
82956,2016-03-04,1
5990,2016-03-04,1
41057,2016-03-04,1
15225,2016-03-04,1
44598,2016-03-04,1
19963,2016-03-04,1
56707,2016-03-04,1
73716,2016-03-04,1
36562,2016-03-04,1
27064,2016-03-04,1
95183,2016-03-04,1
62640,2016-03-04,1
42368,2016-03-04,1
7460,2016-03-04,1
42973,2016-03-04,1
1240,2016-03-04,1
50910,2016-03-04,1
44397,2016-03-04,1
20811,2016-03-04,1
56978,2016-03-04,1
19516,2016-03-04,1
40093,2016-03-04,1
30082,2016-03-04,1
80580,2016-03-04,1
47258,2016-03-04,1
7865,2016-03-04,1
44791,2016-03-04,1
16932,2016-03-04,1
79136,2016-03-04,1
6508,2016-03-04,1
20888,2016-03-04,1
64609,2016-03-04,1
53548,2016-03-04,1
50467,2016-03-04,1
32455,2016-03-04,1
31151,2016-03-04,1
86845,2016-03-04,1
7897,2016-03-04,1
48490,2016-03-04,1
80094,2016-03-04,1
7891,2016-03-04,1
21372,2016-03-04,1
13923,2016-03-04,1
21334,2016-03-04,1
69706,2016-03-04,1
33323,2016-03-04,1
89737,2016-03-04,1
84307,2016-03-04,1
80682,2016-03-04,1
7978,2016-03-04,1
49340,2016-03-04,1
81314,2016-03-04,1
22165,2016-03-04,1
51572,2016-03-04,1
90612,2016-03-04,1
33863,2016-03-04,1
89780,2016-03-04,1
70287,2016-03-04,1
81511,2016-03-04,1
8150,2016-03-04,1
51132,2016-03-04,1
61793,2016-03-04,1
59943,2016-03-04,1
22917,2016-03-04,1
40816,2016-03-04,1
29719,2016-03-04,1
73374,2016-03-04,1
650,2016-03-04,1
34234,2016-03-04,1
15039,2016-03-04,1
90531,2016-03-04,1
24420,2016-03-04,1
9630,2016-03-04,1
51548,2016-03-04,1
69660,2016-03-04,1
28201,2016-03-04,1
22949,2016-03-04,1
49116,2016-03-04,1
69928,2016-03-04,1
66014,2016-03-04,1
3162,2016-03-04,1
34369,2016-03-04,1
7336,2016-03-04,1
39831,2016-03-04,1
95648,2016-03-04,1
11209,2016-03-04,1
53342,2016-03-04,1
31263,2016-03-04,1
80744,2016-03-04,1
24095,2016-03-04,1
75635,2016-03-04,1
93664,2016-03-04,1
63715,2016-03-04,1
4413,2016-03-04,1
36594,2016-03-04,1
13733,2016-03-04,1
11092,2016-03-04,1
19540,2016-03-04,1
12371,2016-03-04,1
54113,2016-03-04,1
30061,2016-03-04,1
93361,2016-03-04,1
24576,2016-03-04,1
41336,2016-03-04,1
72721,2016-03-04,1
12707,2016-03-04,1
5478,2016-03-04,1
37997,2016-03-04,1
59446,2016-03-04,1
19904,2016-03-04,1
25226,2016-03-04,1
12423,2016-03-04,1
54408,2016-03-04,1
47174,2016-03-04,1
26093,2016-03-04,1
24725,2016-03-04,1
37492,2016-03-04,1
54807,2016-03-04,1
5509,2016-03-04,1
38962,2016-03-04,1
41457,2016-03-04,1
42573,2016-03-04,1
10985,2016-03-04,1
19773,2016-03-04,1
55374,2016-03-04,1
21152,2016-03-04,1
85006,2016-03-04,1
11753,2016-03-05,2
44690,2016-03-05,2
40816,2016-03-05,2
57572,2016-03-05,2
40093,2016-03-05,2
90612,2016-03-05,2
7891,2016-03-05,2
68071,2016-03-05,2
83643,2016-03-05,2
20574,2016-03-05,2
31822,2016-03-05,2
20888,2016-03-05,1
59818,2016-03-05,1
77490,2016-03-05,1
92654,2016-03-05,1
32455,2016-03-05,1
80214,2016-03-05,1
99169,2016-03-05,1
26701,2016-03-05,1
7897,2016-03-05,1
